Id,SinkCreatedOn,SinkModifiedOn,statecode,statuscode,dfeta_eeacountry,dfeta_ottroutecountry,modifiedby,modifiedby_entitytype,modifiedonbehalfby,modifiedonbehalfby_entitytype,createdonbehalfby,createdonbehalfby_entitytype,organizationid,organizationid_entitytype,createdby,createdby_entitytype,createdbyyominame,organizationidname,dfeta_countryid,dfeta_name,createdonbehalfbyyominame,modifiedonbehalfbyyominame,modifiedbyyominame,createdbyname,versionnumber,timezoneruleversionnumber,importsequencenumber,modifiedonbehalfbyname,modifiedbyname,modifiedon,overriddencreatedon,dfeta_vieworder,utcconversiontimezonecode,createdonbehalfbyname,createdon,dfeta_value
59DF300C-24A1-EC11-B400-0022489F734C,2022-03-11 10:14:57.0000000,2022-03-11 10:14:57.0000000,0,1,0,0,9FB9DC86-1330-EB11-A813-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,9FB9DC86-1330-EB11-A813-000D3A239136,systemuser,James WILLIAMS,NULL,59DF300C-24A1-EC11-B400-0022489F734C,British Indian Ocean Territory (BIOT),NULL,NULL,James WILLIAMS,NULL,96926618,NULL,NULL,NULL,NULL,2022-03-11 10:14:40.0000000,NULL,NULL,NULL,NULL,2022-03-11 10:14:40.0000000,IO
1FCEF560-24A1-EC11-B400-0022489F734C,2022-03-11 10:17:21.0000000,2022-03-11 10:17:21.0000000,0,1,0,0,9FB9DC86-1330-EB11-A813-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,9FB9DC86-1330-EB11-A813-000D3A239136,systemuser,James WILLIAMS,NULL,1FCEF560-24A1-EC11-B400-0022489F734C,"Occupied Palestinian Territories [Palestine, State of]",NULL,NULL,James WILLIAMS,NULL,96926682,NULL,NULL,NULL,NULL,2022-03-11 10:17:05.0000000,NULL,NULL,NULL,NULL,2022-03-11 10:17:05.0000000,PS
66514E81-24A1-EC11-B400-0022489F734C,2022-03-11 10:18:14.0000000,2022-03-11 10:18:14.0000000,0,1,0,0,9FB9DC86-1330-EB11-A813-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,9FB9DC86-1330-EB11-A813-000D3A239136,systemuser,James WILLIAMS,NULL,66514E81-24A1-EC11-B400-0022489F734C,Taiwan,NULL,NULL,James WILLIAMS,NULL,96926703,NULL,NULL,NULL,NULL,2022-03-11 10:17:57.0000000,NULL,NULL,NULL,NULL,2022-03-11 10:17:57.0000000,TW
5178C045-AF6A-E611-89BC-00505682090B,2020-11-26 15:25:50.0000000,2020-11-27 15:38:09.0000000,0,1,0,0,F2D4A03E-1AF1-EA11-A815-000D3A239E28,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,5178C045-AF6A-E611-89BC-00505682090B,United Kingdomer,NULL,NULL,Robert COLLIER,NULL,29001706,NULL,NULL,NULL,NULL,2020-11-27 15:37:53.0000000,2020-11-26 15:25:01.000,1000,NULL,NULL,2016-08-25 10:32:58.0000000,GB
2CEAEFD4-C73B-E311-82EC-005056B1356A,2020-11-26 15:25:50.0000000,2020-11-26 15:25:50.0000000,0,1,0,0,59996EC7-E325-EB11-A815-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2CEAEFD4-C73B-E311-82EC-005056B1356A,Afghanistan,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,28970555,NULL,2,NULL,NULL,2020-11-26 15:25:02.0000000,2020-11-26 15:25:02.000,1000,NULL,NULL,2013-10-23 09:45:31.0000000,AF
2EEAEFD4-C73B-E311-82EC-005056B1356A,2020-11-26 15:25:50.0000000,2020-11-26 15:25:50.0000000,0,1,0,0,59996EC7-E325-EB11-A815-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2EEAEFD4-C73B-E311-82EC-005056B1356A,"Africa, not otherwise specified",NULL,NULL,# svc-EntDqtCrm-DM1,NULL,28970560,NULL,2,NULL,NULL,2020-11-26 15:25:02.0000000,2020-11-26 15:25:02.000,1000,NULL,NULL,2013-10-23 09:45:31.0000000,XQ
30EAEFD4-C73B-E311-82EC-005056B1356A,2020-11-26 15:25:50.0000000,2020-11-26 15:25:50.0000000,0,1,0,0,59996EC7-E325-EB11-A815-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,30EAEFD4-C73B-E311-82EC-005056B1356A,Åland Islands {Ahvenamaa},NULL,NULL,# svc-EntDqtCrm-DM1,NULL,28970559,NULL,2,NULL,NULL,2020-11-26 15:25:02.0000000,2020-11-26 15:25:02.000,1000,NULL,NULL,2013-10-23 09:45:31.0000000,AX
32EAEFD4-C73B-E311-82EC-005056B1356A,2020-11-26 15:25:50.0000000,2020-11-26 15:25:50.0000000,0,1,0,0,59996EC7-E325-EB11-A815-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,32EAEFD4-C73B-E311-82EC-005056B1356A,Albania,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,28970566,NULL,2,NULL,NULL,2020-11-26 15:25:02.0000000,2020-11-26 15:25:02.000,1000,NULL,NULL,2013-10-23 09:45:31.0000000,AL
34EAEFD4-C73B-E311-82EC-005056B1356A,2020-11-26 15:25:50.0000000,2020-11-26 15:25:50.0000000,0,1,0,0,59996EC7-E325-EB11-A815-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,34EAEFD4-C73B-E311-82EC-005056B1356A,Algeria,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,28970552,NULL,2,NULL,NULL,2020-11-26 15:25:02.0000000,2020-11-26 15:25:02.000,1000,NULL,NULL,2013-10-23 09:45:31.0000000,DZ
36EAEFD4-C73B-E311-82EC-005056B1356A,2020-11-26 15:25:50.0000000,2020-11-26 15:25:50.0000000,0,1,0,0,59996EC7-E325-EB11-A815-000D3A239136,systemuser,NULL,NULL,NULL,NULL,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,36EAEFD4-C73B-E311-82EC-005056B1356A,American Samoa,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,28970557,NULL,2,NULL,NULL,2020-11-26 15:25:02.0000000,2020-11-26 15:25:02.000,1000,NULL,NULL,2013-10-23 09:45:31.0000000,AS
